x,y,label,lane,dose,seed
1.6413034,5.603647,0,topic-transformer,alpha=1,1
18.977613,2.5135345,4,topic-transformer,alpha=1,1
6.8196015,0.4021971,0,topic-transformer,alpha=1,1
4.7754083,0.8753409,0,topic-transformer,alpha=1,1
16.103527,0.11757276,2,topic-transformer,alpha=1,1
17.097137,0.67098504,7,topic-transformer,alpha=1,1
2.0243013,1.2803131,7,topic-transformer,alpha=1,1
6.4695787,0.41875032,5,topic-transformer,alpha=1,1
-9.1219425,0.87598616,1,topic-transformer,alpha=1,1
-9.192103,0.28784832,1,topic-transformer,alpha=1,1
6.9139266,9.32163,8,topic-transformer,alpha=1,1
7.3241262,0.28806815,7,topic-transformer,alpha=1,1
0.76629025,3.9225712,5,topic-transformer,alpha=1,1
4.0178037,4.4126863,6,topic-transformer,alpha=1,1
17.73866,0.76506704,4,topic-transformer,alpha=1,1
16.953259,8.033311,9,topic-transformer,alpha=1,1
6.4292946,0.4345789,2,topic-transformer,alpha=1,1
7.3159614,0.20003374,2,topic-transformer,alpha=1,1
4.228933,5.0563064,8,topic-transformer,alpha=1,1
1.8700668,1.1128222,5,topic-transformer,alpha=1,1
6.9114523,9.319427,8,topic-transformer,alpha=1,1
6.6697574,0.29636934,0,topic-transformer,alpha=1,1
1.969251,1.1348448,7,topic-transformer,alpha=1,1
16.849768,9.088952,9,topic-transformer,alpha=1,1
19.004536,3.1396396,4,topic-transformer,alpha=1,1
4.134554,4.9420977,2,topic-transformer,alpha=1,1
3.0453916,5.9237323,7,topic-transformer,alpha=1,1
18.980047,3.1545565,4,topic-transformer,alpha=1,1
12.812754,-1.101912,5,topic-transformer,alpha=1,1
2.6330986,5.97461,7,topic-transformer,alpha=1,1
4.139105,0.7208536,7,topic-transformer,alpha=1,1
1.2960922,1.9506998,7,topic-transformer,alpha=1,1
16.805353,0.5987248,0,topic-transformer,alpha=1,1
11.844655,-1.3322396,0,topic-transformer,alpha=1,1
4.182209,2.6462023,0,topic-transformer,alpha=1,1
3.736126,5.405012,2,topic-transformer,alpha=1,1
2.4167666,6.01374,8,topic-transformer,alpha=1,1
18.314682,4.173696,9,topic-transformer,alpha=1,1
1.6797341,5.6833982,5,topic-transformer,alpha=1,1
18.202652,6.1054473,4,topic-transformer,alpha=1,1
1.6541175,5.6159043,7,topic-transformer,alpha=1,1
18.29258,4.5058746,6,topic-transformer,alpha=1,1
17.244307,1.3042111,2,topic-transformer,alpha=1,1
1.2182952,2.647358,0,topic-transformer,alpha=1,1
13.315723,-1.1033257,5,topic-transformer,alpha=1,1
4.02848,4.788168,2,topic-transformer,alpha=1,1
16.96208,0.7128689,0,topic-transformer,alpha=1,1
18.41073,4.5146885,6,topic-transformer,alpha=1,1
7.1675873,0.15954982,0,topic-transformer,alpha=1,1
17.369286,0.41551033,4,topic-transformer,alpha=1,1
18.21267,4.3586097,6,topic-transformer,alpha=1,1
18.915178,2.6906545,5,topic-transformer,alpha=1,1
13.088144,-1.2372749,5,topic-transformer,alpha=1,1
2.8965642,0.602668,5,topic-transformer,alpha=1,1
0.6945542,3.0299118,7,topic-transformer,alpha=1,1
17.148129,1.3174864,6,topic-transformer,alpha=1,1
18.129429,4.299201,6,topic-transformer,alpha=1,1
18.592712,5.617063,4,topic-transformer,alpha=1,1
18.66044,5.4941974,4,topic-transformer,alpha=1,1
5.206862,0.74853545,0,topic-transformer,alpha=1,1
17.387402,1.4911165,6,topic-transformer,alpha=1,1
3.0853095,0.75259346,2,topic-transformer,alpha=1,1
17.66045,0.6420855,4,topic-transformer,alpha=1,1
3.9579391,0.73986167,0,topic-transformer,alpha=1,1
18.56719,5.6162376,4,topic-transformer,alpha=1,1
0.9057513,2.6204863,7,topic-transformer,alpha=1,1
5.722531,0.54287434,0,topic-transformer,alpha=1,1
17.070002,1.485929,6,topic-transformer,alpha=1,1
4.103651,0.69295216,0,topic-transformer,alpha=1,1
17.93391,6.385873,4,topic-transformer,alpha=1,1
17.418053,6.9951158,9,topic-transformer,alpha=1,1
6.928069,9.306495,8,topic-transformer,alpha=1,1
3.039061,0.6527158,7,topic-transformer,alpha=1,1
-9.186384,0.7217038,1,topic-transformer,alpha=1,1
-9.42757,-1.1780118,1,topic-transformer,alpha=1,1
1.17032,4.7575116,0,topic-transformer,alpha=1,1
16.87298,8.573492,9,topic-transformer,alpha=1,1
16.799965,8.62725,9,topic-transformer,alpha=1,1
2.6983552,0.67701274,5,topic-transformer,alpha=1,1
0.9298301,2.8555214,2,topic-transformer,alpha=1,1
0.8425253,2.6818461,7,topic-transformer,alpha=1,1
5.2458587,10.094403,3,topic-transformer,alpha=1,1
18.729332,5.0894217,4,topic-transformer,alpha=1,1
5.281786,0.6466295,7,topic-transformer,alpha=1,1
15.41876,-0.088640116,0,topic-transformer,alpha=1,1
4.138669,4.856402,3,topic-transformer,alpha=1,1
7.152782,0.21878049,0,topic-transformer,alpha=1,1
2.2565775,5.9960713,8,topic-transformer,alpha=1,1
18.708422,5.4726315,4,topic-transformer,alpha=1,1
16.867355,9.048424,9,topic-transformer,alpha=1,1
15.49041,-0.2306843,7,topic-transformer,alpha=1,1
17.904663,4.1216207,6,topic-transformer,alpha=1,1
4.1169977,2.5302286,0,topic-transformer,alpha=1,1
16.861439,9.128434,9,topic-transformer,alpha=1,1
6.979771,9.253633,8,topic-transformer,alpha=1,1
17.235197,0.50395495,5,topic-transformer,alpha=1,1
-9.442761,-1.4539493,1,topic-transformer,alpha=1,1
3.9966192,4.0243006,6,topic-transformer,alpha=1,1
6.5771823,9.611087,8,topic-transformer,alpha=1,1
18.445473,2.2629077,9,topic-transformer,alpha=1,1
7.1230693,0.182894,2,topic-transformer,alpha=1,1
-9.065619,0.946646,1,topic-transformer,alpha=1,1
