x,y,label,lane,dose,seed
16.333473,6.6939855,0,topic-transformer,alpha=1,0
3.7516782,5.0689826,4,topic-transformer,alpha=1,0
8.289191,10.3680525,0,topic-transformer,alpha=1,0
12.030613,9.937984,0,topic-transformer,alpha=1,0
4.1339254,5.189737,2,topic-transformer,alpha=1,0
4.2778864,7.8225904,7,topic-transformer,alpha=1,0
11.303726,10.114508,7,topic-transformer,alpha=1,0
12.612635,10.11128,5,topic-transformer,alpha=1,0
-8.836496,7.601613,1,topic-transformer,alpha=1,0
-9.112217,7.5808616,1,topic-transformer,alpha=1,0
15.631381,0.6110606,8,topic-transformer,alpha=1,0
13.373566,9.793784,7,topic-transformer,alpha=1,0
16.827522,6.116071,5,topic-transformer,alpha=1,0
14.083267,-1.0342866,6,topic-transformer,alpha=1,0
4.0399094,7.0057487,4,topic-transformer,alpha=1,0
3.942979,-0.54689527,9,topic-transformer,alpha=1,0
9.702322,10.589921,2,topic-transformer,alpha=1,0
7.195686,10.600378,2,topic-transformer,alpha=1,0
13.72843,-1.4452711,8,topic-transformer,alpha=1,0
15.024501,8.46145,5,topic-transformer,alpha=1,0
15.728015,0.62866294,8,topic-transformer,alpha=1,0
8.461787,10.735527,0,topic-transformer,alpha=1,0
13.512307,9.778141,7,topic-transformer,alpha=1,0
4.2360125,-1.4222338,9,topic-transformer,alpha=1,0
3.5129316,3.7987797,4,topic-transformer,alpha=1,0
13.862056,-1.3016294,2,topic-transformer,alpha=1,0
16.67656,3.9842181,7,topic-transformer,alpha=1,0
3.7539566,4.8731394,4,topic-transformer,alpha=1,0
4.222013,7.687692,5,topic-transformer,alpha=1,0
16.820442,4.36666,7,topic-transformer,alpha=1,0
13.191383,9.901742,7,topic-transformer,alpha=1,0
13.741647,9.578838,7,topic-transformer,alpha=1,0
8.291581,10.369185,0,topic-transformer,alpha=1,0
10.055826,10.167503,0,topic-transformer,alpha=1,0
11.9409895,9.558115,0,topic-transformer,alpha=1,0
15.54264,0.5726327,2,topic-transformer,alpha=1,0
16.718166,5.086737,8,topic-transformer,alpha=1,0
3.7651045,2.9690692,9,topic-transformer,alpha=1,0
