x,y,label,lane,dose,seed
12.196615,4.686353,0,topic-transformer,control,1
15.821367,9.682847,4,topic-transformer,control,1
13.128166,2.84587,0,topic-transformer,control,1
11.166594,4.3913536,0,topic-transformer,control,1
15.236949,5.486216,2,topic-transformer,control,1
11.18528,6.944746,7,topic-transformer,control,1
10.783887,7.7629347,7,topic-transformer,control,1
8.09434,10.6850395,5,topic-transformer,control,1
-8.55074,8.504285,1,topic-transformer,control,1
-7.533105,8.920137,1,topic-transformer,control,1
10.171246,5.2183495,8,topic-transformer,control,1
12.385291,10.476661,7,topic-transformer,control,1
8.83324,10.872527,5,topic-transformer,control,1
12.625022,-0.552172,6,topic-transformer,control,1
16.231232,7.6575394,4,topic-transformer,control,1
14.617779,1.388719,9,topic-transformer,control,1
15.629161,5.3814163,2,topic-transformer,control,1
15.574797,5.7999883,2,topic-transformer,control,1
9.658906,3.3658419,8,topic-transformer,control,1
9.304239,10.600887,5,topic-transformer,control,1
10.606961,7.617483,8,topic-transformer,control,1
11.077364,6.069353,0,topic-transformer,control,1
11.972366,10.277642,7,topic-transformer,control,1
14.65811,1.1757922,9,topic-transformer,control,1
16.518686,9.471543,4,topic-transformer,control,1
11.084035,1.646896,2,topic-transformer,control,1
11.235962,8.516609,7,topic-transformer,control,1
7.9427986,10.582452,4,topic-transformer,control,1
9.268168,10.66029,5,topic-transformer,control,1
10.54479,9.34757,7,topic-transformer,control,1
10.790939,8.039276,7,topic-transformer,control,1
11.323099,8.726386,7,topic-transformer,control,1
12.795283,3.153359,0,topic-transformer,control,1
11.889129,3.7834504,0,topic-transformer,control,1
10.776837,3.626795,0,topic-transformer,control,1
15.404308,5.228181,2,topic-transformer,control,1
10.982247,4.052391,8,topic-transformer,control,1
13.561901,0.0579241,9,topic-transformer,control,1
9.16906,9.521334,5,topic-transformer,control,1
16.567053,9.37265,4,topic-transformer,control,1
10.741114,9.130555,7,topic-transformer,control,1
11.11206,0.7754516,6,topic-transformer,control,1
11.060488,1.0684658,2,topic-transformer,control,1
11.213457,4.127648,0,topic-transformer,control,1
8.96386,10.911749,5,topic-transformer,control,1
10.818708,1.5473872,2,topic-transformer,control,1
12.036352,4.6698813,0,topic-transformer,control,1
11.091455,0.88093865,6,topic-transformer,control,1
11.503278,5.9288006,0,topic-transformer,control,1
16.122194,7.4878488,4,topic-transformer,control,1
13.306483,-0.19484247,6,topic-transformer,control,1
8.045247,10.591844,5,topic-transformer,control,1
9.381494,9.392062,5,topic-transformer,control,1
8.036826,10.386415,5,topic-transformer,control,1
11.37509,9.223577,7,topic-transformer,control,1
13.572475,0.23454808,6,topic-transformer,control,1
13.124245,-0.5220258,6,topic-transformer,control,1
16.4783,8.415169,4,topic-transformer,control,1
16.11836,9.613583,4,topic-transformer,control,1
12.453118,4.7301626,0,topic-transformer,control,1
10.987135,1.0487136,6,topic-transformer,control,1
15.828319,5.522444,2,topic-transformer,control,1
16.279636,7.8655467,4,topic-transformer,control,1
11.245392,6.326426,0,topic-transformer,control,1
16.251087,9.76551,4,topic-transformer,control,1
12.441629,10.944299,7,topic-transformer,control,1
11.69323,5.4550033,0,topic-transformer,control,1
13.151928,-0.72324216,6,topic-transformer,control,1
11.411747,5.869479,0,topic-transformer,control,1
16.298283,7.7871575,4,topic-transformer,control,1
13.742882,0.18561383,9,topic-transformer,control,1
11.192241,4.5230017,8,topic-transformer,control,1
11.154925,6.9891615,7,topic-transformer,control,1
-8.198538,8.696204,1,topic-transformer,control,1
-7.595654,8.913864,1,topic-transformer,control,1
11.015334,6.0440536,0,topic-transformer,control,1
14.81872,1.5320934,9,topic-transformer,control,1
13.975769,0.08541479,9,topic-transformer,control,1
8.960238,9.902064,5,topic-transformer,control,1
15.692814,5.4025946,2,topic-transformer,control,1
12.200493,10.803889,7,topic-transformer,control,1
11.064113,1.6341524,3,topic-transformer,control,1
16.425936,8.272185,4,topic-transformer,control,1
11.95161,9.466813,7,topic-transformer,control,1
13.377447,2.7824664,0,topic-transformer,control,1
9.784745,2.9870124,3,topic-transformer,control,1
12.580594,3.2564032,0,topic-transformer,control,1
11.018923,4.1783695,8,topic-transformer,control,1
16.573553,9.347839,4,topic-transformer,control,1
14.495702,0.99784887,9,topic-transformer,control,1
12.0559225,9.801696,7,topic-transformer,control,1
12.8096695,-0.6991467,6,topic-transformer,control,1
10.858722,3.5098991,0,topic-transformer,control,1
14.437132,0.76752067,9,topic-transformer,control,1
9.364444,4.4248824,8,topic-transformer,control,1
8.441627,10.311536,5,topic-transformer,control,1
-8.752727,8.586642,1,topic-transformer,control,1
12.695767,-0.59580344,6,topic-transformer,control,1
9.450379,4.5035357,8,topic-transformer,control,1
13.586462,2.4414785,9,topic-transformer,control,1
15.038112,5.738057,2,topic-transformer,control,1
-7.493846,8.9621,1,topic-transformer,control,1
16.25481,9.767496,4,topic-transformer,control,1
11.993239,9.556852,7,topic-transformer,control,1
10.755911,7.4755774,7,topic-transformer,control,1
13.285098,2.724974,9,topic-transformer,control,1
13.645239,-0.17339787,9,topic-transformer,control,1
12.252691,4.050691,0,topic-transformer,control,1
13.106829,-0.5391915,6,topic-transformer,control,1
9.466854,4.4642806,8,topic-transformer,control,1
11.514192,5.8957043,7,topic-transformer,control,1
-8.88772,8.462382,1,topic-transformer,control,1
12.992537,-0.6961157,6,topic-transformer,control,1
12.378866,-0.37096027,6,topic-transformer,control,1
12.413441,4.8903384,0,topic-transformer,control,1
13.439184,-0.5458161,9,topic-transformer,control,1
11.310616,0.5391097,6,topic-transformer,control,1
9.001402,9.624369,5,topic-transformer,control,1
12.15476,10.018915,7,topic-transformer,control,1
10.91177,7.8181767,7,topic-transformer,control,1
8.817559,10.975511,5,topic-transformer,control,1
9.614999,4.563131,8,topic-transformer,control,1
11.134063,4.090796,0,topic-transformer,control,1
10.836938,6.6961017,7,topic-transformer,control,1
11.129499,0.7655752,6,topic-transformer,control,1
11.142642,8.908164,7,topic-transformer,control,1
14.353851,0.6839124,9,topic-transformer,control,1
12.642386,-0.50513387,6,topic-transformer,control,1
9.234774,4.3764105,8,topic-transformer,control,1
10.752321,7.7815824,7,topic-transformer,control,1
15.813181,5.742687,2,topic-transformer,control,1
12.069988,4.8038244,8,topic-transformer,control,1
13.6055765,2.632157,9,topic-transformer,control,1
15.305255,6.403122,2,topic-transformer,control,1
14.626904,1.2385404,9,topic-transformer,control,1
10.752085,9.142307,7,topic-transformer,control,1
12.667764,10.77836,7,topic-transformer,control,1
11.260762,7.1411986,7,topic-transformer,control,1
11.984998,9.715402,7,topic-transformer,control,1
11.761779,10.896179,7,topic-transformer,control,1
8.543927,9.859706,5,topic-transformer,control,1
12.639228,11.04018,7,topic-transformer,control,1
8.672798,10.15056,5,topic-transformer,control,1
16.536478,9.428762,4,topic-transformer,control,1
13.443104,2.5825188,9,topic-transformer,control,1
16.039612,9.600975,4,topic-transformer,control,1
10.56405,3.4081895,6,topic-transformer,control,1
-7.726292,8.8629465,1,topic-transformer,control,1
12.485923,4.523466,0,topic-transformer,control,1
8.107962,10.168206,4,topic-transformer,control,1
-7.5483475,8.887296,1,topic-transformer,control,1
10.555911,9.266631,7,topic-transformer,control,1
11.094777,0.9784324,6,topic-transformer,control,1
11.150822,1.293595,2,topic-transformer,control,1
-8.931483,8.539179,1,topic-transformer,control,1
12.008658,3.8405523,0,topic-transformer,control,1
14.979103,5.5401354,2,topic-transformer,control,1
12.698612,11.08598,7,topic-transformer,control,1
10.761723,9.531334,7,topic-transformer,control,1
16.365555,8.236527,4,topic-transformer,control,1
11.579129,9.26769,7,topic-transformer,control,1
12.209821,10.790153,7,topic-transformer,control,1
-7.6735945,8.935993,1,topic-transformer,control,1
10.592874,7.0465393,7,topic-transformer,control,1
15.773553,5.725529,2,topic-transformer,control,1
14.659891,1.3553228,9,topic-transformer,control,1
11.772293,10.250599,7,topic-transformer,control,1
-8.0774975,8.7486105,1,topic-transformer,control,1
12.0364485,3.6424675,0,topic-transformer,control,1
13.509824,2.4858794,9,topic-transformer,control,1
11.373708,5.9145107,0,topic-transformer,control,1
9.540935,3.918221,8,topic-transformer,control,1
14.695099,1.3697556,9,topic-transformer,control,1
10.923447,1.1779217,6,topic-transformer,control,1
14.781983,1.5400676,9,topic-transformer,control,1
11.912146,10.74604,7,topic-transformer,control,1
16.134432,9.526974,4,topic-transformer,control,1
12.331156,4.135216,0,topic-transformer,control,1
15.361052,5.7680836,2,topic-transformer,control,1
14.585284,4.3827195,0,topic-transformer,control,1
12.50022,10.790777,7,topic-transformer,control,1
8.534222,10.040133,5,topic-transformer,control,1
11.318597,8.815338,7,topic-transformer,control,1
-9.151107,8.593058,1,topic-transformer,control,1
15.443431,6.4054675,2,topic-transformer,control,1
16.483965,8.702554,4,topic-transformer,control,1
10.629061,9.293151,7,topic-transformer,control,1
-7.7501235,8.845785,1,topic-transformer,control,1
11.850647,4.5909357,0,topic-transformer,control,1
10.831491,8.406787,7,topic-transformer,control,1
11.078288,6.9282265,7,topic-transformer,control,1
16.470675,9.433673,4,topic-transformer,control,1
11.025148,8.272144,7,topic-transformer,control,1
15.750568,6.5217156,5,topic-transformer,control,1
-9.166841,8.587505,1,topic-transformer,control,1
16.107656,9.707658,4,topic-transformer,control,1
11.12331,6.880561,7,topic-transformer,control,1
-8.765116,8.451645,1,topic-transformer,control,1
11.232632,6.0805984,0,topic-transformer,control,1
12.131283,10.070084,7,topic-transformer,control,1
11.594629,10.946733,7,topic-transformer,control,1
15.500127,5.442283,2,topic-transformer,control,1
-7.8958616,8.767627,1,topic-transformer,control,1
15.082511,5.929053,2,topic-transformer,control,1
10.752619,4.8754215,8,topic-transformer,control,1
-9.206311,8.613312,1,topic-transformer,control,1
10.532309,6.6008577,8,topic-transformer,control,1
12.327387,4.428726,2,topic-transformer,control,1
8.8256645,9.717806,5,topic-transformer,control,1
9.593604,2.962404,3,topic-transformer,control,1
12.811011,-0.6798929,6,topic-transformer,control,1
15.745881,6.3208203,5,topic-transformer,control,1
8.84054,9.66638,5,topic-transformer,control,1
14.153638,0.34147325,9,topic-transformer,control,1
8.282573,10.868117,5,topic-transformer,control,1
15.033489,4.871897,9,topic-transformer,control,1
12.222253,4.7050467,0,topic-transformer,control,1
-7.894599,8.768011,1,topic-transformer,control,1
11.509716,4.110971,0,topic-transformer,control,1
16.35081,8.263625,4,topic-transformer,control,1
12.701915,-0.47250256,6,topic-transformer,control,1
9.164968,9.920155,5,topic-transformer,control,1
13.232057,-0.7244786,6,topic-transformer,control,1
14.047864,0.207014,9,topic-transformer,control,1
11.199248,0.6504317,6,topic-transformer,control,1
9.391814,4.2315693,8,topic-transformer,control,1
12.470208,4.693787,0,topic-transformer,control,1
9.507998,2.9850824,3,topic-transformer,control,1
13.832779,-0.09214285,9,topic-transformer,control,1
15.049853,5.199103,2,topic-transformer,control,1
10.740305,7.8244596,7,topic-transformer,control,1
13.004518,-0.802979,6,topic-transformer,control,1
15.276357,5.166789,2,topic-transformer,control,1
12.081687,10.229552,7,topic-transformer,control,1
13.632198,2.5886705,9,topic-transformer,control,1
11.710127,10.906889,7,topic-transformer,control,1
-8.73895,8.469692,1,topic-transformer,control,1
12.692902,10.803863,7,topic-transformer,control,1
12.477373,3.390099,0,topic-transformer,control,1
10.948493,6.6258197,0,topic-transformer,control,1
16.14031,7.464741,4,topic-transformer,control,1
8.963963,9.693442,5,topic-transformer,control,1
7.9358563,10.693537,5,topic-transformer,control,1
13.923819,3.6724994,0,topic-transformer,control,1
16.505089,8.565464,4,topic-transformer,control,1
11.3048315,6.3114114,0,topic-transformer,control,1
13.682809,2.348087,9,topic-transformer,control,1
10.775156,7.883452,7,topic-transformer,control,1
9.64139,3.5979798,8,topic-transformer,control,1
