x,y,label,lane,dose,seed
14.108775,8.356185,0,topic-transformer,control,0
8.50243,-1.5492468,4,topic-transformer,control,0
16.00759,10.327768,0,topic-transformer,control,0
12.850007,7.8104005,0,topic-transformer,control,0
13.413016,10.188853,2,topic-transformer,control,0
14.504111,6.671213,7,topic-transformer,control,0
13.306039,6.2999945,7,topic-transformer,control,0
9.385688,-1.4720626,5,topic-transformer,control,0
-1.1079416,8.178407,1,topic-transformer,control,0
-1.0197084,8.314505,1,topic-transformer,control,0
12.445939,7.414557,8,topic-transformer,control,0
13.656208,2.4100177,7,topic-transformer,control,0
9.91131,-0.7900068,5,topic-transformer,control,0
15.456485,11.8471575,6,topic-transformer,control,0
6.4705462,-3.9891548,4,topic-transformer,control,0
14.616985,13.227316,9,topic-transformer,control,0
13.156362,10.542421,2,topic-transformer,control,0
13.09091,10.594868,2,topic-transformer,control,0
11.476057,7.8482013,8,topic-transformer,control,0
10.304185,-0.2893206,5,topic-transformer,control,0
12.6662445,7.122651,8,topic-transformer,control,0
13.850221,7.018183,0,topic-transformer,control,0
12.453337,1.8992932,7,topic-transformer,control,0
14.677677,13.51737,9,topic-transformer,control,0
7.7193565,-2.5260947,4,topic-transformer,control,0
13.007381,10.527421,2,topic-transformer,control,0
13.115181,4.156437,7,topic-transformer,control,0
9.028759,-1.6891679,4,topic-transformer,control,0
10.174531,-0.37629992,5,topic-transformer,control,0
11.063506,1.0722528,7,topic-transformer,control,0
13.077661,4.425063,7,topic-transformer,control,0
13.364711,3.6430666,7,topic-transformer,control,0
15.8346,10.06626,0,topic-transformer,control,0
14.957468,8.092405,0,topic-transformer,control,0
14.007676,8.095006,0,topic-transformer,control,0
12.739819,10.521947,2,topic-transformer,control,0
12.35891,7.687291,8,topic-transformer,control,0
15.543412,13.179886,9,topic-transformer,control,0
9.5567465,-0.055475015,5,topic-transformer,control,0
7.4432187,-2.770254,4,topic-transformer,control,0
11.352121,1.4856972,7,topic-transformer,control,0
14.786849,11.562681,6,topic-transformer,control,0
14.132429,10.736662,2,topic-transformer,control,0
13.591778,7.7559223,0,topic-transformer,control,0
9.996249,-0.73353654,5,topic-transformer,control,0
13.710131,9.558723,2,topic-transformer,control,0
13.246454,8.449628,0,topic-transformer,control,0
14.813374,11.014234,6,topic-transformer,control,0
14.787213,7.23611,0,topic-transformer,control,0
6.351432,-4.121594,4,topic-transformer,control,0
16.15108,11.56238,6,topic-transformer,control,0
9.069229,-1.6471168,5,topic-transformer,control,0
10.873402,1.015174,5,topic-transformer,control,0
8.779141,-1.536579,5,topic-transformer,control,0
12.483852,3.1813574,7,topic-transformer,control,0
16.246391,11.230808,6,topic-transformer,control,0
15.786403,12.726666,6,topic-transformer,control,0
6.9266133,-3.5246074,4,topic-transformer,control,0
7.6616063,-2.5803685,4,topic-transformer,control,0
13.336777,8.736599,0,topic-transformer,control,0
14.745176,10.847278,6,topic-transformer,control,0
12.949618,10.697172,2,topic-transformer,control,0
6.643332,-3.7710075,4,topic-transformer,control,0
14.179734,6.885993,0,topic-transformer,control,0
7.680842,-2.5698874,4,topic-transformer,control,0
12.912575,1.8105812,7,topic-transformer,control,0
14.78336,7.8850946,0,topic-transformer,control,0
15.911107,13.033416,6,topic-transformer,control,0
14.71684,7.373123,0,topic-transformer,control,0
6.5368085,-3.9299731,4,topic-transformer,control,0
15.58753,13.215055,9,topic-transformer,control,0
12.511119,7.6765056,8,topic-transformer,control,0
14.58794,6.8951077,7,topic-transformer,control,0
-0.62561023,9.566191,1,topic-transformer,control,0
-0.9414127,8.305231,1,topic-transformer,control,0
13.229976,7.410921,0,topic-transformer,control,0
14.437264,12.894283,9,topic-transformer,control,0
15.374518,13.43357,9,topic-transformer,control,0
9.777784,-0.0930881,5,topic-transformer,control,0
13.112596,10.593637,2,topic-transformer,control,0
12.767024,1.9696138,7,topic-transformer,control,0
13.122924,10.640686,3,topic-transformer,control,0
7.0827236,-3.3684478,4,topic-transformer,control,0
13.672367,3.1262112,7,topic-transformer,control,0
15.829103,10.21936,0,topic-transformer,control,0
10.87024,9.371831,3,topic-transformer,control,0
15.999484,10.247718,0,topic-transformer,control,0
12.580365,7.7719574,8,topic-transformer,control,0
7.4462743,-2.7694497,4,topic-transformer,control,0
14.735231,13.436122,9,topic-transformer,control,0
13.348592,3.0522988,7,topic-transformer,control,0
15.451611,12.060106,6,topic-transformer,control,0
14.247972,8.252092,0,topic-transformer,control,0
15.11522,13.587748,9,topic-transformer,control,0
11.004906,7.30751,8,topic-transformer,control,0
9.334284,-1.115653,5,topic-transformer,control,0
-0.69094807,9.953509,1,topic-transformer,control,0
15.365136,11.865693,6,topic-transformer,control,0
10.78879,7.214364,8,topic-transformer,control,0
16.28178,10.926438,9,topic-transformer,control,0
13.4280405,10.012832,2,topic-transformer,control,0
-1.0692543,8.209429,1,topic-transformer,control,0
7.704318,-2.5230727,4,topic-transformer,control,0
13.657771,3.1436062,7,topic-transformer,control,0
13.443421,6.2701244,7,topic-transformer,control,0
16.01476,10.634846,9,topic-transformer,control,0
15.710132,13.201415,9,topic-transformer,control,0
14.787004,8.344974,0,topic-transformer,control,0
15.626924,12.48284,6,topic-transformer,control,0
10.907477,7.356627,8,topic-transformer,control,0
14.891843,7.410577,7,topic-transformer,control,0
-0.74272954,9.058044,1,topic-transformer,control,0
15.876451,12.582056,6,topic-transformer,control,0
