lock,dataset,axis,value,n_components,kl_weight,variant,seed,allocation_coherence,allocation_perplexity_mean,allocation_degenerate,edge_survival,separation_survival,reachability_survival,branch_knn_mean_r2,branch_distance_spearman
topic-transformer-prior-20260907,dentate,alpha,1.0,10,,transformer,0,0.945217280662629,1.7103455047071736,False,0.4020209566566722,0.8102388740212112,1.0,,
topic-transformer-prior-20260907,dentate,alpha,2.0,10,,transformer,0,0.9477873649220876,2.6881897127064724,False,0.40587821471560187,0.7891267717315888,1.0,,
topic-transformer-prior-20260907,dentate,alpha,5.0,10,,transformer,0,0.9407399234834323,5.502225091021347,False,0.4008481849522363,0.7252948756070968,1.0,,
topic-transformer-prior-20260907,dentate,control,0.0,10,,transformer,0,,,False,0.7148252990450116,0.8970661116067004,1.0,,
topic-transformer-prior-20260907,dentate,alpha,0.1,10,,transformer,1,0.9277720558838037,1.557121965674891,False,0.41619576775037814,0.9088115769650114,1.0,,
topic-transformer-prior-20260907,dentate,alpha,0.5,10,,transformer,1,0.9515548886506956,1.2375523631327618,False,0.4121909389868768,0.7807513133115274,1.0,,
topic-transformer-prior-20260907,dentate,alpha,1.0,10,,transformer,1,0.9422566210819777,1.718014257969126,False,0.4171652186057082,0.8076122509663991,1.0,,
topic-transformer-prior-20260907,dentate,alpha,2.0,10,,transformer,1,0.9518293628771087,2.726538627563223,False,0.4119851512816188,0.8225790464862722,1.0,,
topic-transformer-prior-20260907,dentate,alpha,5.0,10,,transformer,1,0.9160169554258326,6.622527209131552,False,0.5050460405439872,0.8270393497868966,1.0,,
topic-transformer-prior-20260907,dentate,control,0.0,10,,transformer,1,,,False,0.718857110263681,0.9393894340370701,1.0,,
topic-transformer-prior-20260907,dentate,alpha,0.1,10,,transformer,2,0.9457198099166617,1.044966584749646,False,0.4854325072600227,0.8501338090990187,1.0,,
topic-transformer-prior-20260907,dentate,alpha,0.5,10,,transformer,2,0.9390438146488664,1.2678302819178213,False,0.4504667532891986,0.77921498661909,1.0,,
topic-transformer-prior-20260907,dentate,alpha,1.0,10,,transformer,2,0.93598650731656,1.8798503955353463,False,0.4871457105790962,0.73966696402022,1.0,,
topic-transformer-prior-20260907,dentate,alpha,2.0,10,,transformer,2,0.9498258098056426,2.6525536291747316,False,0.4163055684810311,0.7635543661413421,1.0,,
topic-transformer-prior-20260907,dentate,alpha,5.0,10,,transformer,2,0.9245437053869449,6.820602550659612,False,0.5302725229367939,0.8084547527009615,1.0,,
topic-transformer-prior-20260907,dentate,control,0.0,10,,transformer,2,,,False,0.7172567712916789,0.9054415700267618,1.0,,
topic-transformer-prior-20260907,lung,alpha,0.1,10,,transformer,0,0.5769240430713203,1.222151371121413,False,0.3412140748691129,0.5622312761683033,1.0,,
topic-transformer-prior-20260907,lung,alpha,0.5,10,,transformer,0,0.5953023516424878,1.5706104976630797,False,0.3773759813430114,0.6541559490058392,1.0,,
topic-transformer-prior-20260907,lung,alpha,1.0,10,,transformer,0,0.6063251981464728,2.50552154175616,False,0.40144777993193076,0.6314188618313588,1.0,,
topic-transformer-prior-20260907,lung,alpha,2.0,10,,transformer,0,,3.7305749990690056,False,0.41272770353105065,0.6215241921856518,1.0,,
topic-transformer-prior-20260907,lung,alpha,5.0,10,,transformer,0,,6.547332822474196,False,0.3955303113820622,0.6438857700756652,1.0,,
topic-transformer-prior-20260907,lung,control,0.0,10,,transformer,0,,,False,0.6312437282332802,0.8895814949024614,1.0,,
topic-transformer-prior-20260907,lung,alpha,0.1,10,,transformer,1,0.5731054892696054,1.305282629433358,False,0.3465215706317176,0.5451831546534988,1.0,,
topic-transformer-prior-20260907,lung,alpha,0.5,10,,transformer,1,0.5149818340058818,1.8129345388002145,False,0.3665018787827368,0.6270254032030942,1.0,,
topic-transformer-prior-20260907,lung,alpha,1.0,10,,transformer,1,0.5344314357070394,2.7245282519769467,False,0.3842133113476264,0.5837667336324891,1.0,,
topic-transformer-prior-20260907,lung,alpha,2.0,10,,transformer,1,,4.324855073678595,False,0.4040358928072602,0.7004186928521807,1.0,,
topic-transformer-prior-20260907,lung,alpha,5.0,10,,transformer,1,,6.228885865659691,False,0.38304371543611077,0.6173184881996208,1.0,,
topic-transformer-prior-20260907,lung,control,0.0,10,,transformer,1,,,False,0.6313322708222655,0.8699048083963876,1.0,,
topic-transformer-prior-20260907,lung,alpha,0.1,10,,transformer,2,0.5333923030681935,1.0739483042334947,False,0.3912712142745789,0.623345412215317,1.0,,
topic-transformer-prior-20260907,lung,alpha,0.5,10,,transformer,2,0.5538202209013527,1.7309064070062554,False,0.42908840417493876,0.6599387919866319,1.0,,
topic-transformer-prior-20260907,lung,alpha,1.0,10,,transformer,2,0.5840409765702312,2.7321741842986556,False,0.43742844451794405,0.6703403991663693,1.0,,
topic-transformer-prior-20260907,lung,alpha,2.0,10,,transformer,2,,3.9455709274568966,False,0.434652085478917,0.6697771352396688,1.0,,
topic-transformer-prior-20260907,lung,alpha,5.0,10,,transformer,2,,6.426985231547854,False,0.4213492692105203,0.6630742945119318,1.0,,
topic-transformer-prior-20260907,lung,control,0.0,10,,transformer,2,,,False,0.6321940853550558,0.8647040048065189,1.0,,
topic-transformer-alpha0p1-400ep-setty-20260908,setty,alpha,0.1,10,0.01,transformer,0,,1.0000000109275868,True,0.42798867196914925,0.6529879856451865,1.0,,0.45188810944789143
topic-transformer-alpha0p1-400ep-setty-20260908,setty,control,0.0,10,0.01,transformer,0,,,False,0.6453629457376252,0.8966297394289281,1.0,0.6258216268728485,0.6070150455771448
topic-transformer-alpha0p1-400ep-setty-20260908,setty,alpha,0.1,10,0.01,transformer,1,,1.000000008386611,True,0.46421223389770033,0.7770322983304728,1.0,,0.45186593562859995
topic-transformer-alpha0p1-400ep-setty-20260908,setty,control,0.0,10,0.01,transformer,1,,,False,0.6615616969196145,0.9146902792947418,1.0,0.7973287148202088,0.5733496738205857
topic-transformer-alpha0p1-400ep-setty-20260908,setty,alpha,0.1,10,0.01,transformer,2,,1.0000000143930363,True,0.3194129502816427,0.6116008737712592,1.0,,0.24005959591097575
