lane,family,variant,dataset,axis,value,n_components,seed,raag_version,allocation_status,allocation_quotable,allocation_degenerate,branch_quotable,allocation_coherence,allocation_perplexity_mean,reachability_survival,edge_survival,separation_survival,branch_knn_mean_r2,mixture_effective_components,softmax_coordinate_coherence,softmax_coordinate_perplexity
topic-transformer,Topic,transformer,endo,control,0.0,10,1,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6875184580710344,1.0,nan,nan,0.8411662589275668,8.911962056786871
topic-transformer,Topic,transformer,endo,alpha,0.1,10,2,RAAG-v2-exact-20260921,valid,False,False,True,,1.138106278841902,0.5213427268959802,0.47664446509165553,1.0,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,0.5,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.8890625888820369,1.5286311948670082,1.0,0.5514258082659808,0.9997673065735893,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,1.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.9454698272864152,1.7139655880218223,1.0,0.44520811663501364,0.8020942408376963,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,2.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.8263987482011578,3.7671199155691646,1.0,0.5039203439238412,0.8408376963350785,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,5.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.799222096980509,7.878964382052955,1.0,0.49432957718688664,0.9532286212914485,nan,nan,,
topic-transformer,Topic,transformer,endo,control,0.0,10,2,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.7002836714074764,1.0,nan,nan,0.862472456640231,8.648867154955804
topic-transformer,Topic,transformer,dentate,alpha,0.1,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.9580455970703196,1.06669461799439,1.0,0.4653009402188047,0.8221330161562097,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,0.5,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.9514167618804242,1.1771208113081104,1.0,0.4031855966022875,0.8061254831995243,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,1.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.945217280662629,1.7103455047071736,1.0,0.4020209566566722,0.8102388740212112,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,2.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.9477873649220876,2.6881897127064724,1.0,0.40587821471560187,0.7891267717315888,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,5.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.9407399234834323,5.502225091021347,1.0,0.4008481849522363,0.7252948756070968,nan,nan,,
topic-transformer,Topic,transformer,dentate,control,0.0,10,0,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.7148252990450116,0.8970661116067004,nan,nan,0.8533493153966413,8.846195158498295
topic-transformer,Topic,transformer,dentate,alpha,0.1,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.9277720558838037,1.557121965674891,1.0,0.41619576775037814,0.9088115769650114,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,0.5,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.9515548886506956,1.2375523631327618,1.0,0.4121909389868768,0.7807513133115274,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,1.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.9422566210819777,1.718014257969126,1.0,0.4171652186057082,0.8076122509663991,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,2.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.9518293628771087,2.726538627563223,1.0,0.4119851512816188,0.8225790464862722,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,5.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.9160169554258326,6.622527209131552,1.0,0.5050460405439872,0.8270393497868966,nan,nan,,
topic-transformer,Topic,transformer,dentate,control,0.0,10,1,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.718857110263681,0.9393894340370701,nan,nan,0.8455267398358248,8.902978977527464
topic-transformer,Topic,transformer,dentate,alpha,0.1,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.9457198099166617,1.044966584749646,1.0,0.4854325072600227,0.8501338090990187,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,0.5,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.9390438146488664,1.2678302819178213,1.0,0.4504667532891986,0.77921498661909,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,1.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.93598650731656,1.8798503955353463,1.0,0.4871457105790962,0.73966696402022,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,2.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.9498258098056426,2.6525536291747316,1.0,0.4163055684810311,0.7635543661413421,nan,nan,,
topic-transformer,Topic,transformer,dentate,alpha,5.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.9245437053869449,6.820602550659612,1.0,0.5302725229367939,0.8084547527009615,nan,nan,,
topic-transformer,Topic,transformer,dentate,control,0.0,10,2,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.7172567712916789,0.9054415700267618,nan,nan,0.849157708974281,8.811670665214393
topic-transformer,Topic,transformer,lung,alpha,0.1,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.5769240430713203,1.222151371121413,1.0,0.3412140748691129,0.5622312761683033,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,0.5,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.5953023516424878,1.5706104976630797,1.0,0.3773759813430114,0.6541559490058392,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,1.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.6063251981464728,2.50552154175616,1.0,0.40144777993193076,0.6314188618313588,nan,nan,,
